H,-3.739,,,,,,,,1.7568,,80.26,,82.02,,0.3326,
118Sn,6.07,,,,0.0,,,,4.63,,0.0,,4.63,,0.22,
119Sn,6.12,,,,,,,,4.71,,0.3,,5.0,,2.2,
120Sn,6.49,,,,0.0,,,,5.29,,0.0,,5.29,,0.14,
122Sn,5.74,,,,0.0,,,,4.14,,0.0,,4.14,,0.18,
124Sn,5.97,,,,0.0,,,,4.48,,0.0,,4.48,,0.133,
Sb,5.57,,,,,,,,3.9,,0.007,,3.9,,4.91,
121Sb,5.71,,,,-0.05,,,,4.1,,0.0003,,4.1,,5.75,
123Sb,5.38,,,,-0.1,,,,3.64,,0.001,,3.64,,3.8,
Te,5.8,,,,,,,,4.23,,0.09,,4.32,,4.7,
120Te,5.3,,,,0.0,,,,3.5,,0.0,,3.5,,2.3,
122Te,3.8,,,,0.0,,,,1.8,,0.0,,1.8,,3.4,
123Te,-0.05,,-0.116,,-2.04,,,,0.002,,0.52,,0.52,,418.0,30.0
124Te,7.96,,,,0.0,,,,8.0,,0.0,,8.0,,6.8,1.3
125Te,5.02,,,,-0.26,,,,3.17,,0.008,,3.18,,1.55,
126Te,5.56,,,,0.0,,,,3.88,,0.0,,3.88,,1.04,
128Te,5.89,,,,0.0,,,,4.36,,0.0,,4.36,,0.215,
130Te,6.02,,,,0.0,,,,4.55,,0.0,,4.55,,0.29,
I,5.28,,,,1.58,,,,3.5,,0.31,,3.81,,6.15,
Xe,4.92,,,,3.04,,,,2.96,,0.0,,,,23.9,1.2
124Xe,,,,,0.0,,,,,,0.0,,,,165.0,20.0
126Xe,,,,,0.0,,,,,,0.0,,,,3.5,
128Xe,,,,,0.0,,,,,,0.0,,,,,
129Xe,,,,,,,,,,,,,,,21.0,5.0
130Xe,,,,,0.0,,,,,,0.0,,,,,
131Xe,,,,,,,,,,,,,,,85.0,10.0
132Xe,,,,,0.0,,,,,,0.0,,,,0.45,
134Xe,,,,,0.0,,,,,,0.0,,,,0.265,
136Xe,,,,,0.0,,,,,,0.0,,,,0.26,
Cs,5.42,,,,1.29,,,,3.69,,0.21,,3.9,,29.0,1.5
Ba,5.07,,,,,,,,3.23,,0.15,,3.38,,1.1,
130Ba,-3.6,,,,0.0,,,,1.6,,0.0,,1.6,,30.0,5.0
132Ba,7.8,,,,0.0,,,,7.6,,0.0,,7.6,,7.0,
134Ba,5.7,,,,0.0,,,,4.08,,0.0,,4.08,,2.0,1.6
135Ba,4.67,,,,,,,,2.74,,0.5,,3.2,,5.8,
136Ba,4.91,,,,0.0,,,,3.03,,0.0,,3.03,,0.68,
137Ba,6.83,,,,,,,,5.86,,0.5,,6.4,,3.6,
138Ba,4.84,,,,0.0,,,,2.94,,0.0,,2.94,,0.27,
La,8.24,,,,,,,,8.53,,1.13,,9.66,,8.97,
138La,8.0,2.0,,,,,,,8.0,4.0,0.5,,8.5,4.0,57.0,6.0
139La,8.24,,,,3.0,,,,8.53,,1.13,,9.66,,8.93,
Ce,4.84,,,,,,,,2.94,,0.001,,2.94,,0.63,
136Ce,5.8,,,,0.0,,,,4.23,,0.0,,4.23,,7.3,1.5
138Ce,6.7,,,,0.0,,,,5.64,,0.0,,5.64,,1.1,
140Ce,4.84,,,,0.0,,,,2.94,,0.0,,2.94,,0.57,
142Ce,4.75,,,,0.0,,,,2.84,,0.0,,2.84,,0.95,
Pr,4.58,,,,-0.35,,,,2.64,,0.015,,2.66,,11.5,
Nd,7.69,,,,,,,,7.43,,9.2,,16.6,,50.5,1.2
142Nd,7.7,,,,0.0,,,,7.5,,0.0,,7.5,,18.7,
143Nd,14.0,2.0,,,21.0,1.0,,,25.0,7.0,55.0,7.0,80.0,2.0,337.0,10.0
144Nd,2.8,,,,0.0,,,,1.0,,0.0,,1.0,,3.6,
145Nd,14.0,2.0,,,,,,,25.0,7.0,5.0,5.0,30.0,9.0,42.0,2.0
146Nd,8.7,,,,0.0,,,,9.5,,0.0,,9.5,,1.4,
148Nd,5.7,,,,0.0,,,,4.1,,0.0,,4.1,,2.5,
150Nd,5.3,,,,0.0,,,,3.5,,0.0,,3.5,,1.2,
Pm,12.6,,,,3.2,2.5,,,20.0,1.3,1.3,2.0,21.3,1.5,168.4,3.5
Sm,0.8,,-1.65,,,,,,0.422,,39.0,3.0,39.0,3.0,5922.0,56.0
144Sm,-3.0,4.0,,,0.0,,,,1.0,3.0,0.0,,1.0,3.0,0.7,
147Sm,14.0,3.0,,,11.0,7.0,,,25.0,11.0,143.0,19.0,39.0,16.0,57.0,3.0
148Sm,-3.0,4.0,,,0.0,,,,1.0,3.0,0.0,,1.0,3.0,2.4,
149Sm,-19.2,,-11.7,,31.4,,-10.3,,63.5,,137.0,5.0,200.0,5.0,42080.0,400.0
150Sm,14.0,3.0,,,0.0,,,,25.0,11.0,0.0,,25.0,11.0,104.0,4.0
152Sm,-5.0,,,,0.0,,,,3.1,,0.0,,3.1,,206.0,6.0
154Sm,9.3,,,,0.0,,,,11.0,2.0,0.0,,11.0,2.0,8.4,
Eu,7.22,,-1.26,,,,,,6.57,,2.5,,9.2,,4530.0,40.0
151Eu,6.13,,-2.53,,4.5,,-2.14,,5.5,,3.1,,8.6,,9100.0,100.0
153Eu,8.22,,,,3.2,,,,8.5,,1.3,,9.8,,312.0,7.0
Gd,6.5,,-13.82,,,,,,29.3,,151.0,2.0,180.0,2.0,49700.0,125.0
152Gd,10.0,3.0,,,0.0,,,,13.0,8.0,0.0,,13.0,8.0,735.0,20.0
154Gd,10.0,3.0,,,0.0,,,,13.0,8.0,0.0,,13.0,8.0,85.0,12.0
155Gd,6.0,,-17.0,,5.0,5.0,-13.16,,40.8,,25.0,6.0,66.0,6.0,61100.0,400.0
156Gd,6.3,,,,0.0,,,,5.0,,0.0,,5.0,,1.5,1.2
157Gd,-1.14,,-71.9,,5.0,5.0,-55.8,,650.0,4.0,394.0,7.0,1044.0,8.0,259000.0,700.0
158Gd,9.0,2.0,,,0.0,,,,10.0,5.0,0.0,,10.0,5.0,2.2,
160Gd,9.15,,,,0.0,,,,10.52,,0.0,,10.52,,0.77,
Tb,7.38,,,,-0.17,,,,6.84,,0.004,,6.84,,23.4,
Dy,16.9,,-0.276,,,,,,35.9,,54.4,1.2,90.3,,994.0,13.0
156Dy,6.1,,,,0.0,,,,4.7,,0.0,,4.7,,33.0,3.0
158Dy,6.0,4.0,,,0.0,,,,5.0,6.0,0.0,,5.0,6.0,43.0,6.0
160Dy,6.7,,,,0.0,,,,5.6,,0.0,,5.6,,56.0,5.0
161Dy,10.3,,,,4.9,,,,13.3,,3.0,1.0,16.0,1.0,600.0,25.0
162Dy,-1.4,,,,0.0,,,,0.25,,0.0,,0.25,,194.0,10.0
163Dy,5.0,,,,1.3,,,,3.1,,0.21,,3.3,,124.0,7.0
164Dy,49.4,,-0.79,,0.0,,,,307.0,3.0,0.0,,307.0,3.0,2840.0,40.0
Ho,8.01,,,,-1.7,,,,8.06,,0.36,,8.42,,64.7,1.2
Er,7.79,,,,,,,,7.63,,1.1,,8.7,,159.0,4.0
162Er,8.8,,,,0.0,,,,9.7,,0.0,,9.7,,19.0,2.0
164Er,8.2,,,,0.0,,,,8.4,,0.0,,8.4,,13.0,2.0
166Er,10.6,,,,0.0,,,,14.1,,0.0,,14.1,,19.6,1.5
167Er,3.0,,,,1.0,,,,1.1,,0.13,,1.2,,659.0,16.0
168Er,7.4,,,,0.0,,,,6.9,,0.0,,6.9,,2.74,
170Er,9.6,,,,0.0,,,,11.6,,0.0,,11.6,1.2,5.8,
Tm,7.07,,,,0.9,,,,6.28,,0.1,,6.38,,100.0,2.0
Yb,12.43,,,,,,,,19.42,,4.0,,23.4,,34.8,
168Yb,-4.07,,-0.62,,0.0,,,,2.13,,0.0,,2.13,,2230.0,40.0
170Yb,6.77,,,,0.0,,,,5.8,,0.0,,5.8,,11.4,1.0
171Yb,9.66,,,,-5.59,,,,11.7,,3.9,,15.6,,48.6,2.5
172Yb,9.43,,,,0.0,,,,11.2,,0.0,,11.2,,0.8,
173Yb,9.56,,,,-5.3,,,,11.5,,3.5,,15.0,,17.1,1.3
174Yb,19.3,,,,0.0,,,,46.8,,0.0,,46.8,,69.4,5.0
176Yb,8.72,,,,0.0,,,,9.6,,0.0,,9.6,,2.85,
Lu,7.21,,,,,,,,6.53,,0.7,,7.2,,74.0,2.0
175Lu,7.24,,,,2.2,,,,6.59,,0.6,,7.2,,21.0,3.0
176Lu,6.1,,-0.57,,3.0,,0.61,,4.7,,1.2,,5.9,,2065.0,35.0
Hf,7.7,,,,,,,,7.6,,2.6,,10.2,,104.1,
174Hf,10.9,1.1,,,0.0,,,,15.0,3.0,0.0,,15.0,3.0,561.0,35.0
176Hf,6.61,,,,0.0,,,,5.5,,0.0,,5.5,,23.5,3.1
177Hf,0.8,1.0,,,0.9,1.3,,,0.1,,0.1,,0.2,,373.0,10.0
178Hf,5.9,,,,0.0,,,,4.4,,0.0,,4.4,,84.0,4.0
179Hf,7.46,,,,1.06,,,,7.0,,0.14,,7.1,,41.0,3.0
180Hf,13.2,,,,0.0,,,,21.9,,0.0,,21.9,1.0,13.04,
Ta,6.91,,,,,,,,6.0,,0.01,,6.01,,20.6,
180Ta,7.0,2.0,,,,,,,6.2,,0.5,,7.0,4.0,563.0,60.0
181Ta,6.91,,,,-0.29,,,,6.0,,0.011,,6.01,,20.5,
W,4.86,,,,,,,,2.97,,1.63,,4.6,,18.3,
180W,5.0,3.0,,,0.0,,,,3.0,4.0,0.0,,3.0,4.0,30.0,20.0
182W,6.97,,,,0.0,,,,6.1,,0.0,,6.1,,20.7,
183W,6.53,,,,,,,,5.36,,0.3,,5.7,,10.1,
184W,7.48,,,,0.0,,,,7.03,,0.0,,7.03,,1.7,
186W,-0.72,,,,0.0,,,,0.065,,0.0,,0.065,,37.9,
Re,9.2,,,,,,,,10.6,,0.9,,11.5,,89.7,1.0
185Re,9.0,,,,2.0,,,,10.2,,0.5,,10.7,,112.0,2.0
187Re,9.3,,,,2.8,,,,10.9,,1.0,,11.9,,76.4,1.0
Os,10.7,,,,,,,,14.4,,0.3,,14.7,,16.0,
184Os,10.0,2.0,,,0.0,,,,13.0,5.0,0.0,,13.0,5.0,3000.0,150.0
186Os,11.6,1.7,,,0.0,,,,17.0,5.0,0.0,,17.0,5.0,80.0,13.0
187Os,10.0,2.0,,,,,,,13.0,5.0,0.3,,13.0,5.0,320.0,10.0
188Os,7.6,,,,0.0,,,,7.3,,0.0,,7.3,,4.7,
189Os,10.7,,,,,,,,14.4,,0.5,,14.9,,25.0,4.0
190Os,11.0,,,,0.0,,,,15.2,,0.0,,15.2,,13.1,
192Os,11.5,,,,0.0,,,,16.6,,0.0,,16.6,1.2,2.0,
Ir,10.6,,,,,,,,14.1,,0.0,3.0,14.0,3.0,425.0,2.0
191Ir,,,,,,,,,,,,,,,954.0,10.0
193Ir,,,,,,,,,,,,,,,111.0,5.0
Pt,9.6,,,,,,,,11.58,,0.13,,11.71,,10.3,
190Pt,9.0,,,,0.0,,,,10.0,2.0,0.0,,10.0,2.0,152.0,4.0
192Pt,9.9,,,,0.0,,,,12.3,1.2,0.0,,12.3,1.2,10.0,2.5
194Pt,10.55,,,,0.0,,,,14.0,,0.0,,14.0,,1.44,
195Pt,8.83,,,,-1.0,,,,9.8,,0.13,,9.9,,27.5,1.2
196Pt,9.89,,,,0.0,,,,12.3,,0.0,,12.3,,0.72,
198Pt,7.8,,,,0.0,,,,7.6,,0.0,,7.6,,3.66,
Au,7.63,,,,-1.84,,,,7.32,,0.43,,7.75,,98.65,
Hg,12.692,,,,,,,,20.24,,6.6,,26.8,,372.3,4.0
196Hg,30.3,1.0,,,0.0,,,,115.0,8.0,0.0,,115.0,8.0,3080.0,180.0
198Hg,,,,,0.0,,,,,,0.0,,,,2.0,
199Hg,16.9,,,,15.5,,,,36.0,2.0,30.0,3.0,66.0,2.0,2150.0,48.0
200Hg,,,,,0.0,,,,,,0.0,,,,,
201Hg,,,,,,,,,,,,,,,7.8,2.0
202Hg,,,,,0.0,,,,,,0.0,,9.828,,4.89,
204Hg,,,,,0.0,,,,,,0.0,,,,0.43,
Tl,8.776,,,,,,,,9.678,,0.21,,9.89,,3.43,
203Tl,6.99,,,,1.06,,,,6.14,,0.14,,6.28,,11.4,
205Tl,9.52,,,,-0.242,,,,11.39,,0.007,,11.4,,0.104,
Pb,9.405,,,,,,,,11.115,,0.003,,11.118,,0.171,
204Pb,9.9,,,,0.0,,,,12.3,,0.0,,12.3,,0.65,
206Pb,9.22,,,,0.0,,,,10.68,,0.0,,10.68,,0.03,
207Pb,9.28,,,,0.14,,,,10.82,,0.002,,10.82,,0.699,
208Pb,9.5,,,,0.0,,,,11.34,,0.0,,11.34,,0.00048,
Bi,8.532,,,,,,,,9.148,,0.0084,,9.156,,0.0338,
Po,,,,,0.259,,,,0.0,,,,,,,
At,,,,,,,,,0.0,,,,,,,
Rn,,,,,,,,,0.0,,,,12.6,,,
Fr,,,,,,,,,0.0,,,,,,,
Ra,10.0,1.0,,,0.0,,,,13.0,3.0,0.0,,13.0,3.0,12.8,1.5
Ac,,,,,,,,,0.0,,,,,,,
Th,10.31,,,,0.0,,,,13.36,,0.0,,13.36,,7.37,
Pa,9.1,,,,,,,,10.4,,0.1,3.3,10.5,3.2,200.6,2.3
U,8.417,,,,,,,,8.903,,0.005,,8.908,,7.57,
233U,10.1,,,,1.0,3.0,,,12.8,,0.1,,12.9,,574.7,1.0
234U,12.4,,,,0.0,,,,19.3,,0.0,,19.3,,100.1,1.3
235U,10.47,,,,1.3,,,,13.78,,0.2,,14.0,,680.9,1.1
238U,8.402,,,,0.0,,,,8.871,,0.0,,8.871,,2.68,
Np,10.55,,,,,,,,14.0,,0.5,,14.5,,175.9,2.9
Pu,,,,,,,,,,,,,,,,
238Pu,14.1,,,,0.0,,,,25.0,1.8,0.0,,25.0,1.8,558.0,7.0
239Pu,7.7,,,,1.3,1.9,,,7.5,,0.2,,7.7,,1017.3,2.1
240Pu,3.5,,,,0.0,,,,1.54,,0.0,,1.54,,289.6,1.4
242Pu,8.1,,,,0.0,,,,8.2,,0.0,,8.2,,18.5,
Am,8.3,,,,2.0,7.0,,,8.7,,0.3,,9.0,2.6,75.3,1.8
Cm,,,,,,,,,0.0,,,,,,,
244Cm,9.5,,,,0.0,,,,11.3,,0.0,,11.3,,16.2,1.2
246Cm,9.3,,,,0.0,,,,10.9,,0.0,,10.9,,1.36,
248Cm,7.7,,,,0.0,,,,7.5,,0.0,,7.5,,3.0,
